text,category
Requesting guidance for grievance process for 2 days needs immediate attention!,Other
Internet bill paid but service suspended; service not working sir/madam!,Internet Services
Insurance claim not processed yet - insurance; service not working for 3 days near Phase 1 bahut problem.,Insurance
Need help regarding government portal issue - help from 10 AM today near Ring Road pls.,Other
Net banking login not working; support not responding near Shivaji Chowk Kindly help.,Banking
Public bus service delayed daily; bill issue!,Transport
Public bus service delayed daily jaldi!,Transport
No network coverage inside my house near Ward 11 kindly look into this jaldi pls.,Telecom
Insurance claim not processed yet from 10 AM today please resolve asap kripya!,Insurance
Need correction in insurance policy details for 2 days near Nehru Nagar please resolve asap.,Insurance
Delay in pension payment every month since yesterday jaldi Thanks.,Pension
Public toilet is not maintained - garbage; service not working near Old City pls.,Sanitation
Road has big potholes causing accidents; portal error from 10 AM today near Ring Road Kindly help.,Roads
Overcharging by vendors at station - station near New Town namaskar.,Railways
SIM not active even after recharge madad kijiye Kindly help.,Telecom
Road has big potholes causing accidents - footpath since last week near Gandhi Nagar requesting quick action pls.,Roads
Delay in pension payment every month; refund not received near Sector 21 please resolve asap jaldi Thanks.,Pension
College fee receipt not generated online; complaint not updated near New Town urgent!,Education
Cheque clearance taking too long from last night kindly look into this Thanks.,Banking
Need correction in insurance policy details namaskar pls.,Insurance
Ticketing machine not working in bus - bus near Model Town,Transport
Medicine not available in dispensary near Gandhi Nagar jaldi,Healthcare
Safety issue in locality at night near Ring Road!,Law & Order
Frequent call drops and poor signal since yesterday near Civil Lines,Telecom
LPG subsidy not received for a week near MG Road Thanks.,Gas
Delay in pension payment every month; status pending,Pension
Hospital staff not available at counter since last month Kindly help.,Healthcare
Road has big potholes causing accidents near Nehru Nagar.,Roads
Medicine not available in dispensary near New Town.,Healthcare
School has no proper drinking water and toilets - admission; refund not received for a week near Nehru Nagar kripya pls.,Education
Passport verification delayed from last night,Documents
Street road is flooded because of bad surface; portal error from last night near Block A please resolve asap Kindly help.,Roads
Road construction left incomplete near Phase 2 urgent.,Roads
SIM not active even after recharge - call drop; bill issue from 10 AM today,Telecom
Train delayed without information since last week,Railways
Passport verification delayed since last week near MG Road requesting quick action.,Documents
WiFi speed is very slow.,Internet Services
Housing scheme application rejected wrongly needs immediate attention,Housing
Insurance claim not processed yet - claim Thanks.,Insurance
Pension status showing pending for long time for 2 days near Main Bazaar.,Pension
Wrong cylinder delivered by agency - delivery; portal error sir/madam.,Gas
LPG subsidy not received from last night needs immediate attention madad kijiye.,Gas
Dirty water coming from taps; bill issue since last week Kindly help.,Water
Harassment complaint needs attention Kindly help.,Law & Order
Public toilet is not maintained; bill issue for 48 hours please resolve asap jaldi,Sanitation
Policy document not received since last week near Block A!,Insurance
Cheque clearance taking too long since last week near Ring Road please,Banking
Electricity bill shows wrong meter reading since last month pls.,Electricity
Harassment complaint needs attention since last week kripya Kindly help.,Law & Order
Frequent call drops and poor signal from last night near MG Road pls.,Telecom
Frequent call drops and poor signal; status pending since yesterday near Ward 5 needs immediate attention Kindly help.,Telecom
Train delayed without information since last month near Ward 11 bahut problem,Railways
Water pipeline leakage on the street since last month near New Town,Water
ATM cash not received but balance debited near Phase 1 high priority please Kindly help.,Banking
Public bus service delayed daily; status pending please resolve asap Thanks.,Transport
Water pipeline leakage on the street for 48 hours,Water
Need correction in insurance policy details since yesterday near Block A needs immediate attention bahut problem Kindly help.,Insurance
GST registration issue on portal near MG Road needs immediate attention Thanks.,Tax
Pension status showing pending for long time; support not responding near Ward 5 Thanks.,Pension
Frequent call drops and poor signal; support not responding for 2 days pls.,Telecom
Insurance claim not processed yet - claim since last month near Old City bahut problem.,Insurance
Passport verification delayed; status pending for a week near Civil Lines pls.,Documents
Requesting guidance for grievance process - complaint since yesterday kripya pls.,Other
SIM not active even after recharge; service not working please!,Telecom
ATM cash not received but balance debited from last night near Sector 12 Kindly help.,Banking
No network coverage inside my house; status pending near Ward 11 urgent madad kijiye!,Telecom
Wrong cylinder delivered by agency - lpg for a week requesting quick action please Kindly help.,Gas
LPG subsidy not received; service not working for a week needs immediate attention.,Gas
Net banking login not working for a week Kindly help.,Banking
Driver rash driving complaint for 48 hours near Phase 1 needs immediate attention.,Transport
Pension status showing pending for long time; portal error for 2 days.,Pension
Driver rash driving complaint - delay; support not responding since last week near Block C,Transport
